estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
367,20,32,"(1024, 1025)","(1, 64)",33792,0.41906513545454543,15.248220358796946,L3_BW
368,20,32,"(1024,)","(128,)",32,1.8116967572727272,3.527078968623483,"Latencies, L3_BW"
369,20,32,"(1024, 1025)","(1, 128)",33792,0.41906513545454543,15.248220358796946,L3_BW
370,20,32,"(1024,)","(256,)",32,1.8116967572727272,3.527078968623483,"Latencies, L3_BW"
371,20,32,"(1024, 1025)","(1, 256)",33792,0.41906513545454543,15.248220358796946,L3_BW
372,20,32,"(1024, 1025)","(2, 4)",131584,0.8009040909356985,7.978480322949216,Compute
373,20,32,"(1024, 1025)","(2, 8)",66048,0.5260712736363636,12.146638393559119,L3_BW
374,20,32,"(1024, 1025)","(2, 16)",33280,0.4192382845454546,15.241922709964681,L3_BW
375,20,32,"(1024, 1025)","(2, 32)",33280,0.4192382845454546,15.241922709964681,L3_BW
376,20,32,"(1024, 1025)","(2, 64)",33280,0.4192382845454546,15.241922709964681,L3_BW
377,20,32,"(1024, 1025)","(2, 128)",33280,0.4192382845454546,15.241922709964681,L3_BW
378,20,32,"(1024, 1025)","(4, 2)",131328,0.8013369636629712,7.974170442470097,Compute
379,20,32,"(1024, 1025)","(4, 4)",65792,0.5255518263636364,12.158643942526563,L3_BW
380,20,32,"(1024, 1025)","(4, 8)",33024,0.4185252081818182,15.267891647100068,L3_BW
381,20,32,"(1024, 1025)","(4, 16)",33024,0.4185252081818182,15.267891647100068,L3_BW
382,20,32,"(1024, 1025)","(4, 32)",33024,0.4185252081818182,15.267891647100068,L3_BW
383,20,32,"(1024, 1025)","(4, 64)",33024,0.4185252081818182,15.267891647100068,L3_BW
384,20,32,"(1024, 1025)","(8, 1)",131200,0.7989257002305986,7.998237543560831,Compute
385,20,32,"(1024, 1025)","(8, 2)",65664,0.5258981245454546,12.150637608040562,L3_BW
386,20,32,"(1024, 1025)","(8, 4)",32896,0.41906513545454543,15.248220358796946,L3_BW
387,20,32,"(1024, 1025)","(8, 8)",32896,0.41906513545454543,15.248220358796946,L3_BW
388,20,32,"(1024, 1025)","(8, 16)",32896,0.41906513545454543,15.248220358796946,L3_BW
389,20,32,"(1024, 1025)","(8, 32)",32896,0.41906513545454543,15.248220358796946,L3_BW
390,20,32,"(1024, 1025)","(16, 1)",65600,0.5260712736363636,12.146638393559119,L3_BW
391,20,32,"(1024, 1025)","(16, 2)",32832,0.4192382845454546,15.241922709964681,L3_BW
392,20,32,"(1024, 1025)","(16, 4)",32832,0.4192382845454546,15.241922709964681,L3_BW
393,20,32,"(1024, 1025)","(16, 8)",32832,0.4192382845454546,15.241922709964681,L3_BW
